,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(-0.06454798805831093, 0.14347835052995336)","(1.9956209659576416, -0.23891320824623108)",,,True
0,"(-0.0036061918585833103, 0.06043932129214302)","(1.6823875904083252, -0.6729521155357361)",,,False
0,"(0.10774533034807754, 0.06840982800378381)","(0.7665378451347351, -1.363427758216858)",,,True
0,"(-0.05942917037588341, -0.0840239338346828)","(-1.4343063831329346, 0.8235775828361511)",,,True
0,"(-0.10335923477013431, 0.009313777254088785)","(0.7190325260162354, 2.6631245613098145)",,,False
0,"(-0.12913469590870838, -0.07098730951851087)","(-0.35440826416015625, 1.7996113300323486)",,,True
0,"(-0.08393976872232406, 0.020272287494649602)","(0.18270859122276306, 2.34981107711792)",,,False
0,"(0.004598845986359898, 0.09417704919407308)","(1.8719720840454102, -0.5105673670768738)",,,True
0,"(0.09731942620074596, -0.10763454389413536)","(-2.0043132305145264, -0.13470211625099182)",,,True
0,"(-0.1737166372367852, 0.23048545318289176)","(2.0053067207336426, -0.15741857886314392)",,,True
0,"(-0.02874947834763952, -0.0651817412998192)","(-1.5981627702713013, 0.7195634841918945)",,,True
0,"(0.04640803218401182, 0.08701300072188564)","(1.498929738998413, -0.7844534516334534)",,,True
0,"(0.12379291089208402, 0.21524475764609768)","(1.4269154071807861, -0.8355023264884949)",,,True
0,"(-0.12016032702637436, 0.01694883567209864)","(1.2833588123321533, 2.4395828247070312)",,,True
0,"(0.12603240263914348, -0.07982364537676556)","(-1.9389121532440186, -0.6886075735092163)",,,True
0,"(-0.1059772753203213, 0.11004736844200819)","(0.5873280167579651, 2.622746229171753)",,,False
0,"(0.2660401937503746, 0.13277970018785906)","(0.02128252200782299, -2.146944522857666)",,,True
0,"(0.0061425955261846295, 0.00849374608440177)","(1.517500638961792, 0.16850702464580536)",,,False
0,"(0.11205629870050152, -0.10129315997451938)","(-1.991626501083374, -0.32960280776023865)",,,True
0,"(-0.023709176667071116, 0.12909749740434331)","(1.9428374767303467, -0.38956737518310547)",,,True
0,"(-0.016928744713834307, 0.034245313049820904)","(0.8331197500228882, 0.4849725365638733)",,,False
0,"(0.1732027333036275, 0.1320918750129005)","(0.688811182975769, -1.4573566913604736)",,,True
0,"(0.05721127664947326, 0.15286311550761958)","(1.6339442729949951, -0.6977745294570923)",,,True
0,"(0.15273645317941545, 0.02990079882673373)","(-0.3785342872142792, -2.5028293132781982)",,,True
0,"(0.0780000407541443, -0.1827288790257156)","(-1.9777815341949463, 0.2920040488243103)",,,True
0,"(0.18168544760158611, 0.005192334278883239)","(-0.5628379583358765, -2.605459451675415)",,,False
0,"(-0.10288907013091178, -0.022189099684339506)","(0.4654894769191742, 2.5619940757751465)",,,True
0,"(0.05213206075202418, -0.07914421166213459)","(-2.0043609142303467, -0.015229746699333191)",,,True
0,"(0.2804826943319573, 0.0871322284587963)","(-0.506588339805603, -2.5796968936920166)",,,True
0,"(-0.07297959709570981, 0.025128368493049946)","(-1.0399694442749023, 1.1024281978607178)",,,False
0,"(-0.07852004045641844, 0.015175882271533925)","(0.19998082518577576, 2.3642020225524902)",,,False
0,"(0.012248364535225292, 0.002295652420531441)","(0.7804930806159973, 1.4131816625595093)",,,False
0,"(0.05480772936370572, -0.05224897642430827)","(-0.3761880695819855, -2.506436347961426)",,,False
0,"(-0.010275388009382245, -0.05598466432949867)","(-1.7669689655303955, 0.6080299615859985)",,,False
0,"(-0.10407381085101433, 0.019172035458353155)","(1.143693447113037, 2.5693931579589844)",,,False
0,"(0.04787431576287516, -0.0381629550453817)","(-0.11736001819372177, -0.7289324402809143)",,,False
0,"(0.07211942777346424, 0.02794382712239478)","(0.23661546409130096, -1.9269710779190063)",,,True
0,"(0.01527293690043771, -0.056420173264784185)","(-1.9981187582015991, 0.16931994259357452)",,,True
0,"(-0.010385962298698438, -0.09869507228545588)","(-1.8483291864395142, 0.5344516038894653)",,,True
0,"(-0.07319347313279939, 0.060749201430832456)","(0.44569364190101624, 2.542571783065796)",,,False
0,"(-0.10201099102220629, -0.09930788079870159)","(-1.0500285625457764, 1.1145331859588623)",,,True
0,"(-0.021208475485904543, -0.01795925338985919)","(-1.228690505027771, 0.9725273251533508)",,,True
0,"(-0.036950793837820003, 0.11113510809564989)","(1.9815706014633179, -0.26783934235572815)",,,True
0,"(0.09599547931699497, -0.0870651322108295)","(-1.9865999221801758, -0.36304032802581787)",,,True
0,"(0.16434086302866827, 0.08167191963256853)","(0.16147151589393616, -2.0045077800750732)",,,True
0,"(0.04555201151812883, 0.09755532861771529)","(1.3579027652740479, -0.8830868601799011)",,,False
0,"(-0.1155822247873263, -0.15854768554034526)","(-1.2690579891204834, 0.9449806213378906)",,,True
